Agency Name,Coordinates,Area of Interest,Phone Number,Contact,Number of Hours,isMonday,isTuesday,isWednesday,isThursday,isFriday,isSaturday,isSunday,Address,Website
Buddies-4-Math,37.3948991 -122.0941463,Children,N/A,buddies4math@gmail.com,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Castro Elementary School Mountain View CA,http://buddies4math.blogspot.com/
Catholic Worker House,37.4806010 -122.2211310,Children,6503668315,N/A,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,822 Heller St. Redwood City CA,N/A
After School Athletics,37.3809810 -122.1148970,Children,4088929193,gjsorensen@sbcglobal.net,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,http://www.afterschoolathletics.com/
Childrens Discovery Museum,37.326862 -121.892093,Children,N/A,badden@cdm.org,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,180 Woz Way San Jose CA 95110,https://www.cdm.org/connect/volunteer/
Green Pastures,37.376023 -122.084521,Children,6509652333,ClaudiaL@GreenPasturesHome.org,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,730 Cornelia Ct Mountain View CA 94040,http://www.greenpastureshome.org/HowToHelp/VolunteerOpportunities.aspx
I Have A Dream Foundation,37.468827 -122.141075,Children,6503292830,N/A,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Costano Elementary School East Palo Alto CA,N/A
ISP,37.331901 -121.942443,Children,4082470037,N/A,2.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2280 Kenwood Avenue San Jose CA,N/A
Tutoring Network,37.378191 -122.081822,Children,N/A,kinjal.vasavada@gmail.com,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,525 Hans Avenue Mountain View CA 94040,http://thetutoringnetwork.org/
Taft School,37.480015 -122.194396,Children,N/A,(650) 569-3868 ext. 304,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Tenth Ave. and Bay Rd. Redwood City CA,N/A
Saint Simon,37.347001 -122.078565,Children,2063903857,Nursery@stsimon.org,1.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,St. Simon Church-1860 Grant Road Los Altos CA 94024,http://parish.stsimon.org/sunday-nursery
STEM Enrichment ,37.384681 -122.087721,Children,N/A,anjinikarthik@sfhs.com,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1120 Miramonte Ave. Mountain View CA,N/A
Saint Elizabeth Seton,37.449040 -122.144929,Children,6503261258,Patty Kenney McGraw,1.5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1095 Channing Ave Palo Alto CA 94301,http://setonpaloalto.org/
NetGain,37.401255 -122.098603,Children,N/A,cdateo@sbcglobal.net,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,200 S. Rengstorff Road Mountain View CA,N/A
Atria Chateau Gardens,37.313284 -121.907525,Elderly,4082751208,Donna DeArmond,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1185 Pedro Street San Jose 95126,http://www.atriaseniorliving.com/retirement-communities/atria-chateau-gardens-san-jose-ca/
Disabled Veterans ,37.62552 -121.763119,Elderly,6508583903,Vickey Baker,7.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4951 Arroyo Rd Livermore CA 94550,N/A
Idylwood Center,37.351168 -122.055723,Elderly,4087392383,idylwood4@yahoo.com,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1002 W Fremont Ave Sunnyvale CA 94087,N/A
Magnolia Inn,37.381874 -122.053308,Elderly,4089688506,N/A,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,176 So. Bernardo Ave. Sunnyvale CA,N/A
Mission Villa,37.264498 -121.943218,Elderly,4085598301,Charlie Niemeyer,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3333 So. Bascom Ave Campbell CA,http://www.missionvillaseniorliving.com/
Villa Sienna,37.37067 -122.085886,Elderly,6509616484,ymitchum@villa-siena.org,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1855 Miramonte Avenue Mountain View CA,http://www.villa-siena.org/
City Team Ministries ,37.383396 -121.918929,Impoverished,4082325606,dhouse@cityteam.org,6,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,722 Washington St Oakland CA 94607,http://www.cityteam.org/
Housing Consortium,37.427502 -121.915047,Impoverished,4085392143,Elizabeth Griswold,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2011 Little Orchard Street San Jose CA 95125,http://www.ehclifebuilders.org/
Innvision,37.346001 -121.882338,Impoverished,N/A,Lpollard@innvision.org,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,546 Julian St San Jose,http://www.innvision.org/
Martha's Kitchen,37.317374 -121.885040,Impoverished,4082936111,N/A,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,311 Willow Street San Jose,http://www.catholiccharitiesscc.org/users/mkitchen/about.html
Our Daily Bread,37.377203 -122.043228,Impoverished,4087364108,David Burns,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,231 South Sunset Ave Sunnyvale,N/A
Abilities United,37.421135 -122.111859,Developmentally Disabled,6506183307,volunteer@abilitiesunited.org,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3864 Middlefield Road Palo Alto,http://www.abilitiesunited.org/
Green Pastures,37.376023 -122.084521,Developmentally Disabled,6509652333,ClaudiaL@GreenPasturesHome.org,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,730 Cornelia Ct Mountain View CA 94040,http://www.greenpastureshome.org/HowToHelp/VolunteerOpportunities.aspx
Wheelers Bowling League,37.528315 -122.290619,Developmentally Disabled,6507265637,Don Caruth,1.75,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Bel Mateo Bowl 4330 Olympic Ave. San Mateo,N/A
Westwind Riding for the Handicapped,37.364718 -122.159963,Developmentally Disabled,6509478680,N/A,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,27210 Altamont Road Los Altos Hills CA.,N/A
